state,addition,total,death,date,Latitude,Longitude
Johor,,16,,13-03-20,1.937344,103.366585
Kedah,,5,,13-03-20,6.155672,100.569649
Kelantan,,3,,13-03-20,6.125397,102.238068
KL&Putrajaya,,33,,13-03-20,3.139,101.6869
Labuan,,2,,13-03-20,5.2831,115.2308
Melaka,,1,,13-03-20,2.1944,102.2491
N.Sembilan,,11,,13-03-20,2.731813,102.252502
P.Pinang,,7,,13-03-20,5.285153,100.456238
Pahang,,2,,13-03-20,3.7634,103.2202
Perak,,2,,13-03-20,4.69395,101.0901
Perlis,,1,,13-03-20,6.443589,100.216599
Sabah,,8,,13-03-20,5.420404,116.796783
Sarawak,,0,,13-03-20,1.5533,110.3592
Selangor,,105,,13-03-20,3.509247,101.524803
Terengganu,,0,,13-03-20,5.3117,103.1324
Johor,,52,,16-03-20,1.937344,103.366585
Kedah,,31,,16-03-20,6.155672,100.569649
Kelantan,,18,,16-03-20,6.125397,102.238068
KL&Putrajaya,,106,,16-03-20,3.139,101.6869
Labuan,,4,,16-03-20,5.2831,115.2308
Melaka,,14,,16-03-20,2.1944,102.2491
N.Sembilan,,42,,16-03-20,2.731813,102.252502
P.Pinang,,15,,16-03-20,5.285153,100.456238
Pahang,,19,,16-03-20,3.7634,103.2202
Perak,,18,,16-03-20,4.69395,101.0901
Perlis,,8,,16-03-20,6.443589,100.216599
Sabah,,57,,16-03-20,5.420404,116.796783
Sarawak,,0,,16-03-20,1.5533,110.3592
Selangor,,144,,16-03-20,3.509247,101.524803
Terengganu,,4,,16-03-20,5.3117,103.1324
Johor,25,77,,17-03-20,1.937344,103.366585
Kedah,0,31,,17-03-20,6.155672,100.569649
Kelantan,7,25,,17-03-20,6.125397,102.238068
KL&Putrajaya,7,113,,17-03-20,3.139,101.6869
Labuan,0,4,,17-03-20,5.2831,115.2308
Melaka,3,17,,17-03-20,2.1944,102.2491
N.Sembilan,3,45,,17-03-20,2.731813,102.252502
P.Pinang,8,23,,17-03-20,5.285153,100.456238
Pahang,9,28,,17-03-20,3.7634,103.2202
Perak,5,23,,17-03-20,4.69395,101.0901
Perlis,0,8,,17-03-20,6.443589,100.216599
Sabah,25,82,,17-03-20,5.420404,116.796783
Sarawak,29,29,,17-03-20,1.5533,110.3592
Selangor,17,161,,17-03-20,3.509247,101.524803
Terengganu,3,7,,17-03-20,5.3117,103.1324
Johor,11,88,,18-03-20,1.937344,103.366585
Kedah,5,36,,18-03-20,6.155672,100.569649
Kelantan,5,30,,18-03-20,6.125397,102.238068
KL&Putrajaya,6,119,,18-03-20,3.139,101.6869
Labuan,1,5,,18-03-20,5.2831,115.2308
Melaka,1,18,,18-03-20,2.1944,102.2491
N.Sembilan,0,45,,18-03-20,2.731813,102.252502
P.Pinang,7,30,,18-03-20,5.285153,100.456238
Pahang,1,29,,18-03-20,3.7634,103.2202
Perak,5,28,,18-03-20,4.69395,101.0901
Perlis,0,8,,18-03-20,6.443589,100.216599
Sabah,21,103,,18-03-20,5.420404,116.796783
Sarawak,20,49,,18-03-20,1.5533,110.3592
Selangor,31,192,,18-03-20,3.509247,101.524803
Terengganu,3,10,,18-03-20,5.3117,103.1324
Johor,,114,,20-03-20,1.937344,103.366585
Kedah,,41,,20-03-20,6.155672,100.569649
Kelantan,,51,,20-03-20,6.125397,102.238068
KL&Putrajaya,,145,,20-03-20,3.139,101.6869
Labuan,,5,,20-03-20,5.2831,115.2308
Melaka,,22,,20-03-20,2.1944,102.2491
N.Sembilan,,65,,20-03-20,2.731813,102.252502
P.Pinang,,37,,20-03-20,5.285153,100.456238
Pahang,,36,,20-03-20,3.7634,103.2202
Perak,,45,,20-03-20,4.69395,101.0901
Perlis,,9,,20-03-20,6.443589,100.216599
Sabah,,119,,20-03-20,5.420404,116.796783
Sarawak,,58,,20-03-20,1.5533,110.3592
Selangor,,263,,20-03-20,3.509247,101.524803
Terengganu,,20,,20-03-20,5.3117,103.1324
Johor,15,129,,21-03-20,1.937344,103.366585
Kedah,6,47,,21-03-20,6.155672,100.569649
Kelantan,10,61,,21-03-20,6.125397,102.238068
KL&Putrajaya,30,175,,21-03-20,3.139,101.6869
Labuan,0,5,,21-03-20,5.2831,115.2308
Melaka,0,22,,21-03-20,2.1944,102.2491
N.Sembilan,5,70,,21-03-20,2.731813,102.252502
P.Pinang,13,50,,21-03-20,5.285153,100.456238
Pahang,1,37,,21-03-20,3.7634,103.2202
Perak,10,55,,21-03-20,4.69395,101.0901
Perlis,0,9,,21-03-20,6.443589,100.216599
Sabah,17,136,,21-03-20,5.420404,116.796783
Sarawak,10,68,,21-03-20,1.5533,110.3592
Selangor,29,292,,21-03-20,3.509247,101.524803
Terengganu,7,27,,21-03-20,5.3117,103.1324
Johor,16,145,,22-03-20,1.937344,103.366585
Kedah,5,52,,22-03-20,6.155672,100.569649
Kelantan,2,63,,22-03-20,6.125397,102.238068
KL&Putrajaya,17,192,,22-03-20,3.139,101.6869
Labuan,0,5,,22-03-20,5.2831,115.2308
Melaka,1,23,,22-03-20,2.1944,102.2491
N.Sembilan,8,78,,22-03-20,2.731813,102.252502
P.Pinang,8,58,,22-03-20,5.285153,100.456238
Pahang,3,40,,22-03-20,3.7634,103.2202
